,ios_current_ratings,ios_all_ratings,android_avg_rating,android_total_ratings,android_ratings_5,android_ratings_4,android_ratings_3,android_ratings_2,android_ratings_1
2016-07-22 04:00:00,8196.0,109777.0,3.9,1357265.0,771895.0,771895.0,771895.0,771895.0,771895.0
2016-07-22 04:10:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 04:20:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 04:30:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 04:40:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 04:50:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 05:00:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 05:10:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 05:20:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 05:30:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 05:40:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 05:50:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 06:00:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 06:10:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 06:20:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 06:30:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 06:40:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 06:50:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 07:00:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 07:10:00,8196.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 07:20:00,8196.0,109991.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 07:30:00,8435.0,109777.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 07:40:00,8435.0,109991.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 07:50:00,8435.0,109991.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 08:00:00,8435.0,109991.0,3.9,1370721.0,779256.0,779256.0,779256.0,779256.0,779256.0
2016-07-22 08:10:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 08:20:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 08:30:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 08:40:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 08:50:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 09:00:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 09:10:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 09:20:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 09:30:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 09:40:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 09:50:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 10:00:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 10:10:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 10:20:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 10:30:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 10:40:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 10:50:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 11:00:00,8435.0,109991.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 11:10:00,8713.0,110258.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 11:20:00,8713.0,110258.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 11:30:00,8713.0,110258.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 11:40:00,8713.0,110258.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 11:50:00,8713.0,110258.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 12:00:00,8713.0,110258.0,3.9,1389049.0,788267.0,788267.0,788267.0,788267.0,788267.0
2016-07-22 12:10:00,8713.0,110258.0,3.9,1402647.0,796129.0,796129.0,796129.0,796129.0,796129.0
2016-07-22 12:20:00,8713.0,110258.0,3.9,1402647.0,796129.0,796129.0,796129.0,796129.0,796129.0
2016-07-22 12:30:00,8713.0,110258.0,3.9,1402647.0,796129.0,796129.0,796129.0,796129.0,796129.0
2016-07-22 12:40:00,8713.0,110258.0,3.9,1402647.0,796129.0,796129.0,796129.0,796129.0,796129.0
2016-07-22 12:50:00,8713.0,110258.0,3.9,1402647.0,796129.0,796129.0,796129.0,796129.0,796129.0
2016-07-22 13:00:00,8713.0,110258.0,3.9,1402647.0,796129.0,796129.0,796129.0,796129.0,796129.0
2016-07-22 13:10:00,8713.0,110258.0,3.9,1402647.0,796129.0,796129.0,796129.0,796129.0,796129.0
2016-07-22 13:20:00,8713.0,110258.0,3.9,1402647.0,796129.0,796129.0,796129.0,796129.0,796129.0
2016-07-22 13:30:00,8713.0,110258.0,3.9,1402647.0,796129.0,796129.0,796129.0,796129.0,796129.0
2016-07-22 13:40:00,8713.0,110258.0,3.9,1402647.0,796129.0,796129.0,796129.0,796129.0,796129.0
2016-07-22 13:50:00,8713.0,110258.0,3.9,1402647.0,796129.0,796129.0,796129.0,796129.0,796129.0
2016-07-22 14:00:00,8713.0,110258.0,3.9,1402647.0,796129.0,796129.0,796129.0,796129.0,796129.0
2016-07-22 14:10:00,8713.0,110258.0,3.9,1402647.0,796129.0,796129.0,796129.0,796129.0,796129.0
